Strategy,n_drones,Plan,Sensing Mismatch %,Total Collisions,Cross Collisions,Parallel_Collisions,Cell Occupied Collisions,Total Flights Distance,Total Collision Distance,Risk of Collision,Total Duration of Flights,Number of Flights,Average Collisions per Flight
no_ca,1,"[[[[2.0, 0.0], 1], [[2.0, 1.0], 5], [[3.0, 1.0], 5], [[3.0, 2.0], 4], [[2.0, 2.0], 2], [[1.0, 2.0], 6], [[1.0, 1.0], 4], [[2.0, 0.0], 1]]]",59.38,0,0,0,0,7.414,0,0.0,7.5,7,0.0
pf_ca,1,"[[[[2.0, 0.0], 1.0], [[2.01, 0.5], 0.0], [[2.009, 1.0], 0.0], [[2.0, 1.0], 5.0], [[2.499, 1.023], 0.0], [[2.014, 1.144], 0.0], [[2.514, 1.118], 0.0], [[2.957, 0.888], 0.0], [[3.0, 1.0], 5.0], [[2.977, 1.499], 0.0], [[2.618, 1.151], 0.0], [[2.684, 1.647], 0.0], [[3.0, 2.0], 4.0], [[2.5, 1.991], 0.0], [[2.021, 1.849], 0.0], [[2.0, 2.0], 2.0], [[1.5, 2.013], 0.0], [[1.008, 1.924], 0.0], [[1.0, 2.0], 6.0], [[0.996, 1.5], 0.0], [[1.258, 1.074], 0.0], [[1.0, 1.0], 4.0], [[1.382, 0.678], 0.0], [[1.71, 0.3], 0.0], [[2.0, 0.0], 1]]]",59.38,0,0,0,0,10.017,0,0.0,12.0,24,0.0
basic_ca,1,"[[[[2.0, 0.0], 1], [[2.0, 1.0], 5], [[3.0, 1.0], 5], [[3.0, 2.0], 4], [[2.0, 2.0], 2], [[1.0, 2.0], 6], [[1.0, 1.0], 4], [[2.0, 0.0], 1]]]",59.38,0,0,0,0,7.414,0,0.0,7.5,7,0.0

no_ca,2,"[[[[2.0, 0.0], 1], [[2.0, 1.0], 2], [[3.0, 1.0], 7], [[3.0, 2.0], 6], [[2.0, 2.0], 2], [[1.0, 2.0], 6], [[1.0, 1.0], 4], [[2.0, 0.0], 1]], [[[0.0, 2.0], 1], [[1.0, 2.0], 3], [[2.0, 3.0], 1], [[2.0, 2.0], 1], [[2.0, 1.0], 1], [[1.0, 1.0], 2], [[0.0, 2.0], 1]]]",32.65,0,0,0,0,14.243,0,0.0,14.5,13,0.0
pf_ca,2,"[[[[2.0, 0.0], 1.0], [[2.012, 0.5], 0.0], [[1.874, 0.019], 0.0], [[1.795, 0.513], 0.0], [[1.96, 0.984], 0.0], [[2.0, 1.0], 2.0], [[2.495, 1.068], 0.0], [[2.023, 1.231], 0.0], [[2.518, 1.167], 0.0], [[2.989, 0.996], 0.0], [[3.0, 1.0], 7.0], [[2.94, 1.496], 0.0], [[3.277, 1.127], 0.0], [[3.097, 1.594], 0.0], [[3.0, 2.0], 6.0], [[2.5, 2.015], 0.0], [[2.997, 2.072], 0.0], [[2.5, 2.123], 0.0], [[2.053, 1.898], 0.0], [[2.0, 2.0], 2.0], [[1.505, 1.929], 0.0], [[1.39, 2.416], 0.0], [[1.028, 2.071], 0.0], [[1.0, 2.0], 6.0], [[1.451, 1.784], 0.0], [[1.192, 1.356], 0.0], [[1.0, 1.0], 4.0], [[1.365, 0.658], 0.0], [[1.603, 0.219], 0.0], [[2.0, 0.0], 1]], [[[0.0, 2.0], 1.0], [[0.499, 2.036], 0.0], [[0.901, 1.739], 0.0], [[1.0, 2.0], 3.0], [[1.351, 2.356], 0.0], [[1.771, 2.627], 0.0], [[2.0, 3.0], 1.0], [[2.016, 2.5], 0.0], [[1.818, 2.041], 0.0], [[2.0, 2.0], 1.0], [[2.05, 1.502], 0.0], [[1.79, 1.075], 0.0], [[2.0, 1.0], 1.0], [[1.5, 1.003], 0.0], [[1.039, 0.809], 0.0], [[1.0, 1.0], 2.0], [[0.747, 1.431], 0.0], [[0.343, 1.726], 0.0], [[0.0, 2.0], 1]]]",32.65,0,0,0,0,20.282,0,0.0,24.0,47,0.0
basic_ca,2,"[[[[2.0, 0.0], 1], [[2.0, 1.0], 2], [[3.0, 1.0], 7], [[3.0, 2.0], 6], [[2.0, 2.0], 2], [[1.0, 2.0], 6], [[1.0, 1.0], 4], [[2.0, 0.0], 1]], [[[0.0, 2.0], 1], [[1.0, 2.0], 3], [[2.0, 3.0], 1], [[2.0, 2.0], 1], [[2.0, 1.0], 1], [[1.0, 1.0], 2], [[0.0, 2.0], 1]]]",32.65,0,0,0,0,14.243,0,0.0,14.5,13,0.0

no_ca,3,"[[[[2.0, 0.0], 2]], [[[0.0, 2.0], 1], [[1.0, 2.0], 10], [[1.0, 3.0], 1], [[2.0, 3.0], 2], [[2.0, 2.0], 1], [[2.0, 1.0], 3], [[1.0, 1.0], 2], [[0.0, 2.0], 1]], [[[4.0, 2.0], 1], [[3.0, 2.0], 2], [[3.0, 3.0], 1], [[4.0, 2.0], 1]]]",43.59,0,0,0,0,10.828,0,0.0,11.0,10,0.0
pf_ca,3,"[[[[2.0, 0.0], 2]], [[[0.0, 2.0], 1.0], [[0.494, 2.08], 0.0], [[0.955, 1.887], 0.0], [[1.0, 2.0], 10.0], [[1.019, 2.5], 0.0], [[1.484, 2.318], 0.0], [[1.15, 2.69], 0.0], [[1.0, 3.0], 1.0], [[1.498, 2.954], 0.0], [[1.998, 2.948], 0.0], [[2.0, 3.0], 2.0], [[2.007, 2.5], 0.0], [[2.504, 2.45], 0.0], [[2.148, 2.099], 0.0], [[2.0, 2.0], 1.0], [[1.967, 1.501], 0.0], [[1.922, 1.003], 0.0], [[2.0, 1.0], 3.0], [[1.826, 1.469], 0.0], [[1.407, 1.195], 0.0], [[1.0, 1.0], 2.0], [[0.747, 1.431], 0.0], [[0.399, 1.79], 0.0], [[0.0, 2.0], 1]], [[[4.0, 2.0], 1.0], [[3.5, 2.006], 0.0], [[3.04, 1.809], 0.0], [[3.0, 2.0], 2.0], [[2.909, 2.492], 0.0], [[2.703, 2.036], 0.0], [[2.879, 2.504], 0.0], [[3.009, 2.987], 0.0], [[3.0, 3.0], 1.0], [[3.388, 2.685], 0.0], [[3.582, 2.224], 0.0], [[4.0, 2.0], 1]]]",43.59,0,0,0,0,14.363,0,0.0,17.0,34,0.0
