Strategy,n_drones,Plan,Sensing Mismatch %,Total Collisions,Cross Collisions,Parallel_Collisions,Cell Occupied Collisions,Total Flights Distance,Total Collision Distance,Risk of Collision,Total Duration of Flights,Number of Flights,Average Collisions per Flight
no_ca,1,"[[[[1.5, 0.0], 1], [[2.0, 1.0], 11], [[2.0, 2.0], 2], [[1.0, 2.0], 6], [[1.0, 1.0], 8], [[1.5, 0.0], 1]]]",51.28,0,0,0,0,5.236,0,0.0,6.0,5,0.0
pf_ca,1,"[[[[1.5, 0.0], 1.0], [[1.69, 0.462], 0.0], [[1.778, 0.955], 0.0], [[2.0, 1.0], 11.0], [[1.964, 1.499], 0.0], [[2.142, 1.032], 0.0], [[2.0, 1.511], 0.0], [[2.0, 2.0], 2.0], [[1.501, 2.033], 0.0], [[1.441, 1.537], 0.0], [[1.02, 1.806], 0.0], [[1.0, 2.0], 6.0], [[1.022, 1.5], 0.0], [[0.769, 1.931], 0.0], [[0.815, 1.434], 0.0], [[1.0, 1.0], 8.0], [[1.276, 0.583], 0.0], [[1.477, 0.125], 0.0], [[1.5, 0.0], 1]]]",51.28,0,0,0,0,8.008,0,0.0,9.0,18,0.0
basic_ca,1,"[[[[1.5, 0.0], 1], [[2.0, 1.0], 11], [[2.0, 2.0], 2], [[1.0, 2.0], 6], [[1.0, 1.0], 8], [[1.5, 0.0], 1]]]",51.28,0,0,0,0,5.236,0,0.0,6.0,5,0.0

no_ca,2,"[[[[1.5, 0.0], 1], [[2.0, 1.0], 2], [[2.0, 2.0], 9], [[1.0, 2.0], 1], [[1.0, 1.0], 7], [[1.5, 0.0], 1]], [[[0.0, 2.0], 2]]]",31.82,0,0,0,0,5.236,0,0.0,6.0,5,0.0
pf_ca,2,"[[[[1.5, 0.0], 1.0], [[1.647, 0.478], 0.0], [[1.793, 0.956], 0.0], [[2.0, 1.0], 2.0], [[1.966, 1.499], 0.0], [[1.564, 1.796], 0.0], [[2.0, 2.0], 9.0], [[1.509, 1.908], 0.0], [[1.144, 1.566], 0.0], [[1.0, 2.0], 1.0], [[1.026, 1.501], 0.0], [[1.411, 1.182], 0.0], [[1.0, 1.0], 7.0], [[1.305, 0.604], 0.0], [[1.55, 0.168], 0.0], [[1.5, 0.0], 1]], [[[0.0, 2.0], 2]]]",31.82,0,0,0,0,6.774,0,0.0,7.5,15,0.0
basic_ca,2,"[[[[1.5, 0.0], 1], [[2.0, 1.0], 2], [[2.0, 2.0], 9], [[1.0, 2.0], 1], [[1.0, 1.0], 7], [[1.5, 0.0], 1]], [[[0.0, 2.0], 2]]]",31.82,0,0,0,0,5.236,0,0.0,6.0,5,0.0

no_ca,3,"[[[[1.5, 0.0], 2]], [[[0.0, 2.0], 1], [[1.0, 2.0], 9], [[1.0, 3.0], 9], [[1.0, 1.0], 1], [[0.0, 2.0], 1]], [[[3.0, 2.0], 1], [[2.0, 2.0], 6], [[2.0, 1.0], 6], [[2.0, 3.0], 6], [[3.0, 2.0], 1]]]",5.71,0,0,0,0,10.828,0,0.0,11.0,8,0.0
pf_ca,3,"[[[[1.5, 0.0], 2]], [[[0.0, 2.0], 1.0], [[0.492, 2.09], 0.0], [[0.589, 1.599], 0.0], [[1.039, 1.817], 0.0], [[1.0, 2.0], 9.0], [[0.983, 2.5], 0.0], [[1.383, 2.799], 0.0], [[1.0, 3.0], 9.0], [[1.045, 2.502], 0.0], [[1.051, 2.002], 0.0], [[1.067, 1.502], 0.0], [[1.235, 1.973], 0.0], [[1.064, 1.503], 0.0], [[0.58, 1.379], 0.0], [[0.965, 1.06], 0.0], [[1.0, 1.0], 1.0], [[0.73, 1.421], 0.0], [[0.327, 1.717], 0.0], [[0.0, 2.0], 1]], [[[3.0, 2.0], 1.0], [[2.512, 1.891], 0.0], [[2.833, 1.508], 0.0], [[2.431, 1.806], 0.0], [[2.0, 2.0], 6.0], [[1.979, 1.5], 0.0], [[2.337, 1.151], 0.0], [[2.0, 1.0], 6.0], [[2.056, 1.497], 0.0], [[2.026, 1.996], 0.0], [[2.016, 2.496], 0.0], [[1.518, 2.542], 0.0], [[1.949, 2.288], 0.0], [[1.89, 2.785], 0.0], [[2.0, 3.0], 6.0], [[2.297, 2.598], 0.0], [[2.53, 2.155], 0.0], [[3.0, 2.0], 1]]]",5.71,0,0,0,0,16.203,0,0.0,17.5,35,0.0
basic_ca,3,"[[[[1.5, 0.0], 2]], [[[0.0, 2.0], 1], [[1.0, 2.0], 9], [[1.0, 3.0], 9], [[1.0, 1.0], 1], [[0.0, 2.0], 1]], [[[3.0, 2.0], 1], [[2.0, 2.0], 6], [[2.0, 1.0], 6], [[2.0, 3.0], 6], [[3.0, 2.0], 1]]]",5.71,0,0,0,0,10.828,0,0.0,11.0,8,0.0

no_ca,4,"[[[[1.5, 0.0], 2]], [[[0.0, 2.0], 1], [[1.0, 2.0], 2], [[1.0, 3.0], 6], [[0.0, 2.0], 1]], [[[3.0, 2.0], 1], [[2.0, 2.0], 9], [[2.0, 1.0], 3], [[2.0, 3.0], 6], [[3.0, 2.0], 1]], [[[1.5, 4.0], 1], [[2.0, 3.0], 1], [[1.0, 3.0], 1], [[2.0, 2.0], 1], [[1.5, 4.0], 1]]]",16.67,3,1,0,2,14.422,2.0,0.139,15.5,11,0.273
pf_ca,4,"[[[[1.5, 0.0], 2]], [[[0.0, 2.0], 1.0], [[0.493, 2.081], 0.0], [[0.957, 1.894], 0.0], [[1.0, 2.0], 2.0], [[1.071, 2.495], 0.0], [[0.658, 2.214], 0.0], [[0.464, 1.753], 0.0], [[0.732, 2.176], 0.0], [[0.875, 2.654], 0.0], [[1.0, 3.0], 6.0], [[0.626, 2.668], 0.0], [[0.336, 2.261], 0.0], [[0.0, 2.0], 1]], [[[3.0, 2.0], 1.0], [[2.504, 1.935], 0.0], [[2.725, 1.486], 0.0], [[2.328, 1.79], 0.0], [[2.0, 2.0], 9.0], [[1.943, 1.503], 0.0], [[2.288, 1.864], 0.0], [[2.257, 1.365], 0.0], [[2.0, 1.0], 3.0], [[2.05, 1.497], 0.0], [[2.154, 1.987], 0.0], [[1.979, 2.455], 0.0], [[2.466, 2.341], 0.0], [[2.157, 2.735], 0.0], [[2.0, 3.0], 6.0], [[2.382, 2.677], 0.0], [[2.665, 2.265], 0.0], [[3.0, 2.0], 1]], [[[1.5, 4.0], 1.0], [[1.734, 3.558], 0.0], [[1.975, 3.12], 0.0], [[2.0, 3.0], 1.0], [[1.743, 3.429], 0.0], [[1.288, 3.222], 0.0], [[1.0, 3.0], 1.0], [[1.248, 3.434], 0.0], [[1.578, 3.81], 0.0], [[1.693, 3.323], 0.0], [[2.178, 3.445], 0.0], [[1.997, 2.979], 0.0], [[2.449, 3.193], 0.0], [[2.266, 2.728], 0.0], [[2.456, 3.19], 0.0], [[2.327, 2.707], 0.0], [[2.585, 3.135], 0.0], [[2.328, 2.706], 0.0], [[2.623, 3.11], 0.0], [[2.302, 2.726], 0.0], [[2.151, 3.203], 0.0], [[1.987, 2.731], 0.0], [[2.145, 2.256], 0.0], [[2.0, 2.0], 1.0], [[1.95, 2.497], 0.0], [[1.79, 2.971], 0.0], [[1.736, 3.468], 0.0], [[1.54, 3.928], 0.0], [[1.5, 4.0], 1]]]",16.67,0,0,0,0,26.343,0,0.0,28.5,57,0.0
basic_ca,4,"[[[[1.5, 0.0], 2]], [[[0.0, 2.0], 1], [[1.0, 2.0], 12.0], [[1.0, 3.0], 6], [[0.0, 2.0], 1]], [[[3.0, 2.0], 1], [[2.0, 2.0], 9], [[2.0, 1.0], 3], [[2.0, 3.0], 6], [[3.0, 2.0], 1]], [[[1.5, 4.0], 1], [[2.0, 3.0], 11.0], [[1.0, 3.0], 1], [[2.0, 2.0], 1], [[1.5, 4.0], 1]]]",76.67,3,2,0,1,14.422,2.5,0.173,15.5,11,0.273

no_ca,5,"[[[[1.5, 0.0], 2]], [[[0.0, 2.0], 1], [[1.0, 2.0], 8], [[1.0, 3.0], 3], [[1.0, 1.0], 3], [[0.0, 2.0], 1]], [[[3.0, 2.0], 1], [[2.0, 2.0], 10], [[2.0, 1.0], 2], [[2.0, 3.0], 2], [[3.0, 2.0], 1]], [[[1.5, 4.0], 2]], [[[0.0, 0.0], 2]]]",3.7,0,0,0,0,10.828,0,0.0,11.0,8,0.0
pf_ca,5,"[[[[1.5, 0.0], 2]], [[[0.0, 2.0], 1.0], [[0.498, 2.04], 0.0], [[0.803, 2.436], 0.0], [[1.0, 2.0], 8.0], [[1.101, 2.49], 0.0], [[0.726, 2.82], 0.0], [[1.0, 3.0], 3.0], [[0.938, 2.504], 0.0], [[0.974, 2.005], 0.0], [[0.99, 1.505], 0.0], [[0.57, 1.233], 0.0], [[1.0, 1.0], 3.0], [[0.703, 1.402], 0.0], [[0.303, 1.702], 0.0], [[0.0, 2.0], 1]], [[[3.0, 2.0], 1.0], [[2.5, 1.997], 0.0], [[2.457, 2.495], 0.0], [[2.099, 2.145], 0.0], [[2.0, 2.0], 10.0], [[2.027, 1.501], 0.0], [[1.756, 1.081], 0.0], [[2.0, 1.0], 2.0], [[2.091, 1.492], 0.0], [[2.05, 1.99], 0.0], [[2.044, 2.49], 0.0], [[2.187, 2.969], 0.0], [[2.0, 3.0], 2.0], [[2.382, 2.677], 0.0], [[2.735, 2.323], 0.0], [[3.0, 2.0], 1]], [[[1.5, 4.0], 2]], [[[0.0, 0.0], 2]]]",3.7,0,0,0,0,13.26,0,0.0,14.5,29,0.0
basic_ca,5,"[[[[1.5, 0.0], 2]], [[[0.0, 2.0], 1], [[1.0, 2.0], 8], [[1.0, 3.0], 3], [[1.0, 1.0], 3], [[0.0, 2.0], 1]], [[[3.0, 2.0], 1], [[2.0, 2.0], 10], [[2.0, 1.0], 2], [[2.0, 3.0], 2], [[3.0, 2.0], 1]], [[[1.5, 4.0], 2]], [[[0.0, 0.0], 2]]]",3.7,0,0,0,0,10.828,0,0.0,11.0,8,0.0

no_ca,6,"[[[[1.5, 0.0], 2]], [[[0.0, 2.0], 1], [[1.0, 2.0], 10], [[1.0, 3.0], 5], [[1.0, 1.0], 9], [[0.0, 2.0], 1]], [[[3.0, 2.0], 1], [[2.0, 2.0], 4], [[2.0, 1.0], 10], [[2.0, 3.0], 8], [[3.0, 2.0], 1]], [[[1.5, 4.0], 2]], [[[0.0, 0.0], 2]], [[[3.0, 0.0], 2]]]",4.55,0,0,0,0,10.828,0,0.0,11.0,8,0.0
pf_ca,6,"[[[[1.5, 0.0], 2]], [[[0.0, 2.0], 1.0], [[0.496, 2.067], 0.0], [[0.974, 1.921], 0.0], [[1.0, 2.0], 10.0], [[1.096, 2.491], 0.0], [[0.957, 2.971], 0.0], [[1.0, 3.0], 5.0], [[0.987, 2.5], 0.0], [[0.982, 2.0], 0.0], [[0.985, 1.5], 0.0], [[0.584, 1.202], 0.0], [[1.0, 1.0], 9.0], [[0.778, 1.448], 0.0], [[0.329, 1.669], 0.0], [[0.0, 2.0], 1]], [[[3.0, 2.0], 1.0], [[2.51, 2.098], 0.0], [[2.067, 1.866], 0.0], [[2.0, 2.0], 4.0], [[2.454, 1.79], 0.0], [[2.233, 1.342], 0.0], [[2.0, 1.0], 10.0], [[1.961, 1.499], 0.0], [[1.958, 1.999], 0.0], [[2.019, 2.495], 0.0], [[1.662, 2.845], 0.0], [[2.0, 3.0], 8.0], [[2.399, 2.698], 0.0], [[2.645, 2.264], 0.0], [[3.0, 2.0], 1]], [[[1.5, 4.0], 2]], [[[0.0, 0.0], 2]], [[[3.0, 0.0], 2]]]",4.55,0,0,0,0,12.442,0,0.0,14.0,28,0.0
basic_ca,6,"[[[[1.5, 0.0], 2]], [[[0.0, 2.0], 1], [[1.0, 2.0], 10], [[1.0, 3.0], 5], [[1.0, 1.0], 9], [[0.0, 2.0], 1]], [[[3.0, 2.0], 1], [[2.0, 2.0], 4], [[2.0, 1.0], 10], [[2.0, 3.0], 8], [[3.0, 2.0], 1]], [[[1.5, 4.0], 2]], [[[0.0, 0.0], 2]], [[[3.0, 0.0], 2]]]",4.55,0,0,0,0,10.828,0,0.0,11.0,8,0.0

no_ca,7,"[[[[1.5, 0.0], 2]], [[[0.0, 2.0], 2]], [[[3.0, 2.0], 1], [[2.0, 3.0], 1], [[3.0, 2.0], 1]], [[[1.5, 4.0], 1], [[2.0, 3.0], 7], [[1.0, 3.0], 3], [[1.0, 2.0], 8], [[2.0, 2.0], 2], [[1.5, 4.0], 1]], [[[0.0, 0.0], 1], [[1.0, 1.0], 2], [[1.0, 2.0], 2], [[0.0, 0.0], 1]], [[[3.0, 0.0], 1], [[2.0, 1.0], 2], [[1.0, 1.0], 6], [[2.0, 2.0], 2], [[3.0, 0.0], 1]], [[[0.0, 4.0], 2]]]",13.89,3,1,0,2,19.723,2.0,0.101,21.5,14,0.214
